iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
128,13,carol_reciprocate_alice,0.5000,8.0571,-40.8822,12.0643
129,13,carol_decline_alice,0.1000,8.3026,-40.8822,12.3431
130,13,carol_decline_alice,-0.3000,8.9481,-40.8822,13.0220
131,14,carol_decline_alice,-0.3000,9.5935,-40.8822,13.7008
132,14,carol_help_alice,0.6000,9.5935,-41.5193,13.4797
133,14,carol_help_alice,0.2000,9.5935,-41.7565,13.6585
134,14,carol_help_alice,0.6000,9.5935,-42.3936,13.4374
135,14,carol_decline_alice,0.1000,9.8467,-42.3936,13.7162
136,14,carol_reciprocate_alice,0.5000,9.6999,-42.9269,13.7162
137,14,carol_reciprocate_alice,0.5000,9.5531,-43.4603,13.7162
138,14,carol_reciprocate_alice,0.5000,9.4063,-43.9936,13.7162
139,14,carol_decline_alice,0.1000,9.6595,-43.9936,14.0017
140,14,carol_reciprocate_alice,0.5000,9.5127,-44.5233,14.0017
141,15,carol_help_alice,0.6000,9.5127,-45.1531,13.7892
142,15,carol_help_alice,0.6000,9.5127,-45.7828,13.5767
143,15,carol_reciprocate_alice,0.2000,9.6759,-46.0125,13.5767
144,15,carol_help_alice,0.6000,9.6759,-46.6423,13.3609
145,15,carol_reciprocate_alice,0.2000,9.8439,-46.8720,13.3609
146,15,carol_help_alice,0.2000,9.8439,-47.1017,13.5419
147,15,carol_reciprocate_alice,0.2000,10.0086,-47.3314,13.5419
148,15,carol_decline_alice,-0.3000,10.6733,-47.3314,14.2199
149,15,carol_help_alice,0.2000,10.6733,-47.5683,14.3979
150,15,carol_help_alice,0.2000,10.6733,-47.8051,14.5758
151,16,carol_help_alice,0.6000,10.6733,-48.4420,14.3538
152,16,carol_decline_alice,-0.3000,11.3363,-48.4420,15.0318
153,16,carol_decline_alice,0.1000,11.5993,-48.4420,15.3097
154,16,carol_reciprocate_alice,0.5000,11.4622,-48.9820,15.3097
155,16,carol_help_alice,0.2000,11.4622,-49.2220,15.4897
156,16,carol_help_alice,0.6000,11.4622,-49.8620,15.2697
157,16,carol_decline_alice,0.1000,11.7265,-49.8620,15.5497
158,16,carol_decline_alice,0.1000,11.9908,-49.8620,15.8297
159,16,carol_help_alice,0.2000,11.9908,-50.0953,16.0097
160,16,carol_decline_alice,0.1000,12.2522,-50.0953,16.2897
161,17,carol_help_alice,0.6000,12.2522,-50.7255,16.0697
162,17,carol_decline_alice,0.1000,12.5177,-50.7255,16.3497
163,17,carol_decline_alice,0.1000,12.7832,-50.7255,16.6297
164,17,carol_reciprocate_alice,0.5000,12.6488,-51.2500,16.6297
165,17,carol_reciprocate_alice,0.2000,12.8143,-51.4744,16.6297
166,17,carol_reciprocate_alice,0.2000,12.9798,-51.6989,16.6297
167,17,carol_reciprocate_alice,0.5000,12.8453,-52.2233,16.6297
168,17,carol_help_alice,0.6000,12.8453,-52.8478,16.4078
169,17,carol_reciprocate_alice,0.5000,12.7148,-53.3722,16.4078
170,17,carol_decline_alice,0.1000,12.9843,-53.3722,16.6878
171,18,carol_decline_alice,0.1000,13.2538,-53.3722,16.9678
172,18,carol_decline_alice,0.1000,13.5233,-53.3722,17.2478
173,18,carol_help_alice,0.6000,13.5233,-53.9889,17.0278
174,18,carol_reciprocate_alice,0.5000,13.3966,-54.5055,17.0278
175,18,carol_decline_alice,0.1000,13.6699,-54.5055,17.3097
176,18,carol_decline_alice,0.1000,13.9433,-54.5055,17.5915
177,18,carol_help_alice,0.6000,13.9433,-55.1175,17.3733
178,18,carol_reciprocate_alice,0.5000,13.8203,-55.6295,17.3733
179,18,carol_reciprocate_alice,0.5000,13.6974,-56.1415,17.3733
180,18,carol_reciprocate_alice,0.5000,13.5744,-56.6535,17.3733
181,19,carol_reciprocate_alice,0.5000,13.4515,-57.1655,17.3733
182,19,carol_decline_alice,0.1000,13.7285,-57.1655,17.6619
183,19,carol_decline_alice,-0.3000,14.4056,-57.1655,18.3504
184,19,carol_reciprocate_alice,0.5000,14.2826,-57.6809,18.3504
185,19,carol_reciprocate_alice,0.5000,14.1597,-58.1963,18.3504
186,19,carol_decline_alice,0.1000,14.4367,-58.1963,18.6421
187,19,carol_help_alice,0.2000,14.4367,-58.4095,18.8338
188,19,carol_decline_alice,0.1000,14.7109,-58.4095,19.1254
189,19,carol_help_alice,0.2000,14.7109,-58.6206,19.3171
190,19,carol_help_alice,0.2000,14.7109,-58.8317,19.5088
191,20,carol_help_alice,0.2000,14.7109,-59.0428,19.7004
192,20,carol_help_alice,0.2000,14.7109,-59.2540,19.8921
193,20,carol_reciprocate_alice,0.5000,14.5745,-59.7651,19.8921
194,20,carol_decline_alice,-0.3000,15.2382,-59.7651,20.5853
195,20,carol_help_alice,0.2000,15.2382,-59.9814,20.7784
196,20,carol_decline_alice,0.1000,15.4994,-59.9814,21.0716
197,20,carol_reciprocate_alice,0.2000,15.6606,-60.1957,21.0716
198,20,carol_decline_alice,-0.3000,16.3218,-60.1957,21.7621
199,20,carol_decline_alice,0.1000,16.5830,-60.1957,22.0526
200,20,carol_decline_alice,-0.3000,17.2442,-60.1957,22.7432
201,21,carol_reciprocate_alice,0.2000,17.4053,-60.4178,22.7432
202,21,carol_help_alice,0.2000,17.4053,-60.6398,22.9312
203,21,carol_help_alice,0.2000,17.4053,-60.8618,23.1192
204,21,carol_decline_alice,0.1000,17.6619,-60.8618,23.4072
205,21,carol_decline_alice,0.1000,17.9184,-60.8618,23.6952
206,21,carol_help_alice,0.6000,17.9184,-61.4799,23.4832
207,21,carol_help_alice,0.6000,17.9184,-62.0979,23.2712
208,21,carol_decline_alice,-0.3000,18.5818,-62.0979,23.9592
209,21,carol_decline_alice,0.1000,18.8451,-62.0979,24.2472
210,21,carol_reciprocate_alice,0.5000,18.7085,-62.6185,24.2472
211,22,carol_help_alice,0.2000,18.7085,-62.8392,24.4367
212,22,carol_decline_alice,0.1000,18.9696,-62.8392,24.7261
213,22,carol_reciprocate_alice,0.5000,18.8308,-63.3579,24.7261
214,22,carol_decline_alice,0.1000,19.0919,-63.3579,25.0170
215,22,carol_reciprocate_alice,0.2000,19.2530,-63.5748,25.0170
216,22,carol_help_alice,0.2000,19.2530,-63.7918,25.2055
217,22,carol_help_alice,0.6000,19.2530,-64.4087,24.9940
218,22,carol_decline_alice,0.1000,19.5151,-64.4087,25.2824
219,22,carol_decline_alice,0.1000,19.7773,-64.4087,25.5709
220,22,carol_reciprocate_alice,0.5000,19.6395,-64.9221,25.5709
221,23,carol_help_alice,0.2000,19.6395,-65.1355,25.7608
222,23,carol_reciprocate_alice,0.2000,19.7995,-65.3490,25.7608
223,23,carol_decline_alice,-0.3000,20.4595,-65.3490,26.4483
224,23,carol_help_alice,0.2000,20.4595,-65.5666,26.6358
225,23,carol_reciprocate_alice,0.5000,20.3174,-66.0843,26.6358
226,23,carol_help_alice,0.2000,20.3174,-66.3019,26.8246
227,23,carol_decline_alice,-0.3000,20.9732,-66.3019,27.5135
228,23,carol_reciprocate_alice,0.5000,20.8290,-66.8237,27.5135
229,23,carol_help_alice,0.2000,20.8290,-67.0454,27.7038
230,23,carol_reciprocate_alice,0.5000,20.6829,-67.5671,27.7038
231,24,carol_decline_alice,0.1000,20.9367,-67.5671,27.9953
232,24,carol_reciprocate_alice,0.5000,20.7906,-68.0871,27.9953
233,24,carol_help_alice,0.6000,20.7906,-68.7071,27.7882
234,24,carol_reciprocate_alice,0.5000,20.6475,-69.2271,27.7882
235,24,carol_decline_alice,-0.3000,21.3045,-69.2271,28.4823
236,24,carol_decline_alice,0.1000,21.5615,-69.2271,28.7764
237,24,carol_decline_alice,0.1000,21.8184,-69.2271,29.0706
238,24,carol_decline_alice,0.1000,22.0754,-69.2271,29.3647
239,24,carol_reciprocate_alice,0.2000,22.2324,-69.4461,29.3647
240,24,carol_help_alice,0.6000,22.2324,-70.0650,29.1565
241,25,carol_decline_alice,0.1000,22.4924,-70.0650,29.4484
242,25,carol_help_alice,0.2000,22.4924,-70.2823,29.6403
243,25,carol_help_alice,0.6000,22.4924,-70.8996,29.4321
244,25,carol_reciprocate_alice,0.5000,22.3533,-71.4170,29.4321
245,25,carol_help_alice,0.2000,22.3533,-71.6343,29.6252
246,25,carol_help_alice,0.2000,22.3533,-71.8516,29.8183
247,25,carol_decline_alice,-0.3000,23.0105,-71.8516,30.5114
248,25,carol_help_alice,0.6000,23.0105,-72.4727,30.3045
249,25,carol_decline_alice,0.1000,23.2705,-72.4727,30.5976
250,25,carol_decline_alice,0.1000,23.5305,-72.4727,30.8907
251,26,carol_help_alice,0.2000,23.5305,-72.6906,31.0838
252,26,carol_decline_alice,0.1000,23.7886,-72.6906,31.3769
253,26,carol_decline_alice,0.1000,24.0468,-72.6906,31.6700
254,26,carol_help_alice,0.6000,24.0468,-73.3056,31.4631
255,26,carol_decline_alice,-0.3000,24.7077,-73.3056,32.1563
256,26,carol_help_alice,0.2000,24.7077,-73.5242,32.3494
257,26,carol_reciprocate_alice,0.5000,24.5668,-74.0427,32.3494
