iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
63,3,bob,alice_delay_bob,0.4900,-2.8670,-3.5350,6.0742,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
64,3,bob,alice_help_bob,-0.4286,-2.8670,-3.3309,6.6122,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
65,3,bob,alice_help_bob,0.3460,-2.8670,-3.1873,7.0898,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
66,3,bob,alice_delay_bob,-0.3040,-3.2663,-3.4428,7.0898,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
67,3,bob,alice_delay_bob,0.4960,-3.6829,-3.7157,7.0898,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
68,3,bob,alice_delay_bob,0.4960,-4.1136,-4.0028,7.0898,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
69,3,bob,alice_delay_bob,0.4960,-4.5562,-4.3017,7.0898,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
70,3,bob,alice_decline_bob,-0.0040,-4.6927,-4.3017,7.3958,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
71,3,carol,alice_decline_carol,0.5720,-4.6927,-4.3017,7.3958,-0.5402,2.4426,-0.9113,6.9125,-5.0918,-7.7099
72,3,carol,alice_help_carol,-0.3320,-4.6927,-4.3017,7.3958,-0.5402,2.8461,-0.8576,6.9125,-5.0918,-7.7099
73,3,carol,alice_decline_carol,0.5680,-4.6927,-4.3017,7.3958,-0.9727,2.8461,-1.2364,6.9125,-5.0918,-7.7099
74,3,carol,alice_teach_carol,-0.0320,-4.6927,-4.3017,7.3958,-1.0242,3.2271,-1.2364,6.9125,-5.0918,-7.7099
75,3,carol,alice_decline_carol,-0.0320,-4.6927,-4.3017,7.3958,-1.4126,3.2271,-1.5733,6.9125,-5.0918,-7.7099
