iteration,episode,action,reward,carol_help_regret,carol_decline_regret,carol_reciprocate_regret
233,24,decline,0.1000,20.6351,-57.8328,24.0484
234,24,reciprocate,0.2000,20.7898,-58.0315,24.0484
235,24,help,0.6000,20.7898,-58.6302,23.8094
236,24,help,0.6000,20.7898,-59.2289,23.5703
237,24,reciprocate,0.2000,20.9508,-59.4276,23.5703
238,24,help,0.6000,20.9508,-60.0263,23.3294
239,24,decline,0.1000,21.2149,-60.0263,23.5884
240,24,help,0.2000,21.2149,-60.2237,23.7474
241,25,decline,-0.3000,21.8770,-60.2237,24.4065
242,25,reciprocate,0.2000,22.0390,-60.4250,24.4065
243,25,decline,0.1000,22.3010,-60.4250,24.6636
244,25,reciprocate,0.5000,22.1631,-60.9250,24.6636
245,25,decline,0.1000,22.4251,-60.9250,24.9224
246,25,help,0.6000,22.4251,-61.5237,24.6813
247,25,help,0.2000,22.4251,-61.7225,24.8401
248,25,help,0.2000,22.4251,-61.9213,24.9989
249,25,reciprocate,0.5000,22.2861,-62.4200,24.9989
250,25,help,0.2000,22.2861,-62.6188,25.1594
251,26,help,0.2000,22.2861,-62.8176,25.3199
252,26,help,0.2000,22.2861,-63.0163,25.4803
253,26,decline,-0.3000,22.9413,-63.0163,26.1408
254,26,help,0.2000,22.9413,-63.2188,26.3012
255,26,decline,-0.3000,23.5948,-63.2188,26.9617
256,26,reciprocate,0.2000,23.7483,-63.4248,26.9617
257,26,reciprocate,0.2000,23.9018,-63.6308,26.9617
258,26,decline,-0.3000,24.5553,-63.6308,27.6185
259,26,help,0.2000,24.5553,-63.8403,27.7753
260,26,reciprocate,0.2000,24.7070,-64.0499,27.7753
261,27,help,0.2000,24.7070,-64.2594,27.9304
262,27,help,0.2000,24.7070,-64.4689,28.0855
263,27,decline,0.1000,24.9553,-64.4689,28.3405
264,27,decline,0.1000,25.2037,-64.4689,28.5956
265,27,reciprocate,0.5000,25.0520,-64.9759,28.5956
266,27,help,0.2000,25.0520,-65.1829,28.7522
267,27,help,0.2000,25.0520,-65.3898,28.9089
268,27,decline,0.1000,25.2970,-65.3898,29.1656
269,27,decline,0.1000,25.5421,-65.3898,29.4222
270,27,help,0.6000,25.5421,-65.9944,29.1789
271,28,help,0.6000,25.5421,-66.5989,28.9356
272,28,reciprocate,0.5000,25.3926,-67.1035,28.9356
273,28,help,0.2000,25.3926,-67.3080,29.0938
274,28,help,0.6000,25.3926,-67.9126,28.8521
275,28,decline,0.1000,25.6442,-67.9126,29.1103
276,28,help,0.6000,25.6442,-68.5159,28.8685
277,28,decline,0.1000,25.8984,-68.5159,29.1268
278,28,help,0.2000,25.8984,-68.7182,29.2850
279,28,help,0.2000,25.8984,-68.9204,29.4433
280,28,decline,0.1000,26.1494,-68.9204,29.7015
281,29,reciprocate,0.2000,26.3004,-69.1215,29.7015
282,29,reciprocate,0.5000,26.1514,-69.6226,29.7015
283,29,decline,-0.3000,26.8024,-69.6226,30.3596
284,29,help,0.2000,26.8024,-69.8269,30.5176
285,29,decline,0.1000,27.0519,-69.8269,30.7757
286,29,reciprocate,0.5000,26.9014,-70.3302,30.7757
287,29,reciprocate,0.5000,26.7509,-70.8334,30.7757
288,29,reciprocate,0.5000,26.6004,-71.3366,30.7757
289,29,help,0.6000,26.6004,-71.9398,30.5382
290,29,decline,0.1000,26.8524,-71.9398,30.8007
291,30,help,0.2000,26.8524,-72.1420,30.9632
292,30,decline,0.1000,27.1029,-72.1420,31.2257
293,30,help,0.6000,27.1029,-72.7430,30.9882
294,30,decline,-0.3000,27.7559,-72.7430,31.6507
295,30,help,0.6000,27.7559,-73.3472,31.4132
296,30,help,0.6000,27.7559,-73.9513,31.1757
297,30,help,0.2000,27.7559,-74.1555,31.3382
298,30,reciprocate,0.2000,27.9120,-74.3597,31.3382
299,30,reciprocate,0.2000,28.0682,-74.5638,31.3382
300,30,reciprocate,0.5000,27.9244,-75.0680,31.3382
301,31,help,0.6000,27.9244,-75.6722,31.0988
302,31,reciprocate,0.2000,28.0829,-75.8763,31.0988
303,31,reciprocate,0.2000,28.2414,-76.0805,31.0988
304,31,reciprocate,0.5000,28.0999,-76.5847,31.0988
305,31,help,0.2000,28.0999,-76.7888,31.2576
306,31,reciprocate,0.5000,27.9569,-77.2930,31.2576
307,31,decline,0.1000,28.2139,-77.2930,31.5178
308,31,help,0.2000,28.2139,-77.4961,31.6780
309,31,help,0.6000,28.2139,-78.0992,31.4382
310,31,help,0.2000,28.2139,-78.3023,31.5984
311,32,decline,-0.3000,28.8703,-78.3023,32.2586
312,32,help,0.2000,28.8703,-78.5084,32.4188
313,32,reciprocate,0.2000,29.0252,-78.7145,32.4188
314,32,decline,0.1000,29.2802,-78.7145,32.6774
315,32,decline,0.1000,29.5351,-78.7145,32.9361
316,32,reciprocate,0.5000,29.3901,-79.2185,32.9361
317,32,reciprocate,0.5000,29.2451,-79.7225,32.9361
318,32,help,0.6000,29.2451,-80.3265,32.6974
319,32,reciprocate,0.5000,29.1022,-80.8305,32.6974
320,32,help,0.2000,29.1022,-81.0345,32.8600
321,33,decline,-0.3000,29.7580,-81.0345,33.5227
322,33,reciprocate,0.2000,29.9137,-81.2415,33.5227
323,33,reciprocate,0.5000,29.7695,-81.7484,33.5227
324,33,help,0.2000,29.7695,-81.9553,33.6850
325,33,reciprocate,0.2000,29.9238,-82.1623,33.6850
326,33,reciprocate,0.5000,29.7782,-82.6692,33.6850
327,33,reciprocate,0.5000,29.6326,-83.1761,33.6850
328,33,decline,0.1000,29.8870,-83.1761,33.9484
329,33,help,0.6000,29.8870,-83.7820,33.7118
330,33,reciprocate,0.5000,29.7435,-84.2879,33.7118
331,34,help,0.2000,29.7435,-84.4938,33.8764
332,34,help,0.2000,29.7435,-84.6996,34.0410
333,34,reciprocate,0.2000,29.8974,-84.9055,34.0410
334,34,help,0.6000,29.8974,-85.5114,33.8042
335,34,decline,0.1000,30.1533,-85.5114,34.0673
336,34,help,0.2000,30.1533,-85.7163,34.2305
337,34,help,0.2000,30.1533,-85.9211,34.3937
338,34,decline,0.1000,30.4066,-85.9211,34.6568
339,34,help,0.2000,30.4066,-86.1250,34.8200
340,34,reciprocate,0.2000,30.5587,-86.3288,34.8200
341,35,help,0.2000,30.5587,-86.5327,34.9817
342,35,help,0.2000,30.5587,-86.7365,35.1435
343,35,help,0.6000,30.5587,-87.3403,34.9052
