iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
101,4,carol,help_alice,-0.2660,0.8013,-8.2742,4.2941,-8.3841,9.8955,-2.0155,2.2093,-8.7894,3.8980
102,4,carol,teach_alice,-0.0260,0.8013,-8.2742,4.2941,-8.4938,10.2570,-2.0155,2.2093,-8.7894,3.8980
103,4,carol,help_alice,0.2245,0.8013,-8.2742,4.2941,-8.4938,10.6999,-1.9342,2.2093,-8.7894,3.8980
104,4,carol,decline_alice,0.5700,0.8013,-8.2742,4.2941,-8.9552,10.6999,-2.3144,2.2093,-8.7894,3.8980
105,4,carol,teach_alice,-0.0300,0.8013,-8.2742,4.2941,-9.0328,11.0838,-2.3144,2.2093,-8.7894,3.8980
106,4,carol,help_alice,-0.2840,0.8013,-8.2742,4.2941,-9.0328,11.5640,-2.2181,2.2093,-8.7894,3.8980
107,4,carol,decline_alice,-0.0340,0.8013,-8.2742,4.2941,-9.4734,11.5640,-2.5624,2.2093,-8.7894,3.8980
108,4,carol,help_alice,-0.2918,0.8013,-8.2742,4.2941,-9.4734,12.0210,-2.4497,2.2093,-8.7894,3.8980
109,4,carol,help_alice,0.2009,0.8013,-8.2742,4.2941,-9.4734,12.4569,-2.3580,2.2093,-8.7894,3.8980
110,4,carol,teach_alice,-0.0420,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,2.2093,-8.7894,3.8980
111,4,dave,decline_dave,0.0960,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,2.7057,-8.7894,4.2582
112,4,dave,decline_dave,0.0960,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,3.1992,-8.7894,4.6156
113,4,dave,suggest_dave,0.5960,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,3.3212,-9.1609,4.6156
114,4,dave,suggest_dave,0.5960,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,3.4313,-9.5442,4.6156
